YEAR,TRI_FACILI,FRS_ID,FACILITY_N,STREET_ADD,CITY,COUNTY,ST,ZIP,LATITUDE,LONGITUDE,PRIMARY_NA,CHEMICAL,CAS_#/COMP,CLEAR_AIR_,CLASSIFICA,METAL,CARCINOGEN,FORM_TYPE,UNIT_OF_ME,5.1_FUGITI,5.2_STACK_,5.3_WATER,ON-SITE_RE
2016,0096WPMNRG1922A,1.10039E+11,PUMA ENERGY CARIBE LLC-GUAYNABO 1 TERMINAL,RD 28 KM 0.2,GUAYNABO,GUAYNABO,PR,965,18.391571,-66.117699,424710,BIPHENYL,92524,YES,TRI,NO,NO,R,Pounds,0,0.22,0,0.22
2016,00701DPNTLHIGHW,1.10001E+11,DU PONT ELECTRONICS MICROCIRCU ITS INDUSTRIES LTD,HWY 686 KM 2.3,MANATI,MANATI,PR,674,18.4501,-66.4739,334413,ACETONITRILE,75058,YES,TRI,NO,NO,R,Pounds,0,0,0,0
2016,00701DPNTLHIGHW,1.10001E+11,DU PONT ELECTRONICS MICROCIRCU ITS INDUSTRIES LTD,HWY 686 KM 2.3,MANATI,MANATI,PR,674,18.4501,-66.4739,334413,NAPHTHALENE,91203,YES,TRI,NO,NO,R,Pounds,0,3,0,3
2016,0079WCPRVSRAD58,1.1006E+11,COOPERVISION CARIBBEAN CORP,500 RD PR-584 KM 0.9 AMUELAS IND US TRIAL PARK,JUANA DIAZ,JUANA DIAZ,PR,795,18.015139,-66.533845,339115,METHANOL,67561,YES,TRI,NO,NO,R,Pounds,0,195,0,195
2016,00785SPRTRKM142,1.10012E+11,AES PUERTO RICO LP,"KM 142, RD #3 BO. JOBOS",GUAYAMA,GUAYAMA,PR,785,17.9451,-66.1503,221112,LEAD COMPOUNDS,N420,YES,PBT,YES,NO,R,Pounds,0,32,0,32
2016,00619SLNDLST167,1.10008E+11,ISLAND LITHO CORP,PR-28 CORNER PR-05 LUCHETTI,BAYAMON,BAYAMON,PR,961,18.412467,-66.143242,332812,XYLENE (MIXED ISOMERS),1330207,YES,TRI,NO,NO,R,Pounds,216.54,212.21,0,428.75
2016,0096WPMNRG1922A,1.10039E+11,PUMA ENERGY CARIBE LLC-GUAYNABO 1 TERMINAL,RD 28 KM 0.2,GUAYNABO,GUAYNABO,PR,965,18.391571,-66.117699,424710,CYCLOHEXANE,110827,NO,TRI,NO,NO,R,Pounds,15.53,495.6,0,511.13
2016,00962CHNDLRD869,1.10008E+11,MAYS CHEMICAL CO OF PR DBA MAYS OCHOA,RD 869 ST 2 BO PALMAS,CATANO,CATANO,PR,962,18.425556,-66.155556,424690,NITRIC ACID,7697372,NO,TRI,NO,NO,A,Pounds,0,0,0,0
2016,00920TXCDPRD28P,1.10001E+11,PUMA ENERGY CARIBE LLC-GUAYNABO 2 TERMINAL,RD 28 KM 0.8 PUEBLO VIEJO WARD,GUAYNABO,GUAYNABO,PR,971,18.423218,-66.10706,424710,PHENOL,108952,YES,TRI,NO,NO,R,Pounds,0,28.609,0,28.609
2016,00680MYGZGMALEC,1.10001E+11,MAYAGUEZ GAS TURBINES POWER PL ANT,MALECON AVE,MAYAGUEZ,MAYAGUEZ,PR,680,18.219212,-67.159515,221112,POLYCYCLIC AROMATIC COMPOUNDS,N590,YES,PBT,NO,YES,R,Pounds,0,22.3,0,22.3
2016,00920TXCDPRD28P,1.10001E+11,PUMA ENERGY CARIBE LLC-GUAYNABO 2 TERMINAL,RD 28 KM 0.8 PUEBLO VIEJO WARD,GUAYNABO,GUAYNABO,PR,971,18.423218,-66.10706,424710,NAPHTHALENE,91203,YES,TRI,NO,NO,R,Pounds,0,35.51,0,35.51
2016,00920TXCDPRD28P,1.10001E+11,PUMA ENERGY CARIBE LLC-GUAYNABO 2 TERMINAL,RD 28 KM 0.8 PUEBLO VIEJO WARD,GUAYNABO,GUAYNABO,PR,971,18.423218,-66.10706,424710,XYLENE (MIXED ISOMERS),1330207,YES,TRI,NO,NO,R,Pounds,2.44,458.4,0,460.84
2016,00920TXCDPRD28P,1.10001E+11,PUMA ENERGY CARIBE LLC-GUAYNABO 2 TERMINAL,RD 28 KM 0.8 PUEBLO VIEJO WARD,GUAYNABO,GUAYNABO,PR,971,18.423218,-66.10706,424710,ETHYLBENZENE,100414,YES,TRI,NO,NO,R,Pounds,0.433,144.524,0,144.957
2016,00920PRPSNMERCA,1.10001E+11,PREPA - SAN JUAN STEAM PLANT,MERCADO CENTRAL AVE ZONA PORTUARIA RD PR-28,PUERTO NUEVO,SAN JUAN,PR,920,18.42722,-66.10472,221112,MERCURY COMPOUNDS,N458,YES,PBT,YES,NO,R,Pounds,0,22.2,5.779,27.979
2016,00731PRLSSFIRMD,1.10007E+11,PEERLESS OIL & CHEMICALS INC,"HWY 127, KM.17.1",PENUELAS,PENUELAS,PR,624,17.9925,-66.746391,424710,N-HEXANE,110543,YES,TRI,NO,NO,R,Pounds,33.6,4898,0,4931.6
2016,00731PRLSSFIRMD,1.10007E+11,PEERLESS OIL & CHEMICALS INC,"HWY 127, KM.17.1",PENUELAS,PENUELAS,PR,624,17.9925,-66.746391,424710,SELENIUM,7782492,YES,TRI,YES,NO,R,Pounds,0,0,0,0
2016,00965SSCTBSTATE,1.10009E+11,TOTAL GUAYNABO BULK TERMINAL,STATE RD NO 28 KM 0..8,GUAYNABO,GUAYNABO,PR,965,18.425225,-66.106555,424710,ETHYLBENZENE,100414,YES,TRI,NO,NO,R,Pounds,4.06,51.92,0,55.98
2016,00694HRVYHRD686,1.10001E+11,HUBBELL CARIBE LTD,RD 686 KM 17.3,VEGA BAJA,VEGA BAJA,PR,693,18.48647,-66.405199,335931,CHROMIUM,7440473,YES,TRI,YES,YES,R,Pounds,0,0,0,0
2016,00612THRMKZENOG,1.10001E+11,THERMO KING PUERTO RICO MANUFACTURA INC,517 ZONA IND US TRIAL,ARECIBO,ARECIBO,PR,612,18.45815,-66.746457,333415,PROPYLENE,115071,NO,TRI,NO,NO,A,Pounds,0,0,0,0
2016,00613RSTNDROUTE,1.10007E+11,CUTLER HAMMER ELECTRICAL CO,RD 2 KM 67.6 SANTANA IND US TRIAL PARK,ARECIBO,ARECIBO,PR,612,18.444873,-66.649872,335313,NICKEL COMPOUNDS,N495,YES,TRI,YES,NO,R,Pounds,0,1,0,1
2016,0060WHPNTRCARR1,1.10067E+11,HP INTERNATIONAL TRADING BV (PUERTO RICO BRANCH) LLC,"CARR 110, KM. 5.1",AGUADILLA,AGUADILLA,PR,603,18.45647,-67.13655,325910,CERTAIN GLYCOL ETHERS,N230,YES,TRI,NO,NO,R,Pounds,24,329,0,353
2016,00612THRMKZENOG,1.10001E+11,THERMO KING PUERTO RICO MANUFACTURA INC,517 ZONA IND US TRIAL,ARECIBO,ARECIBO,PR,612,18.45815,-66.746457,333415,ETHYLENE GLYCOL,107211,YES,TRI,NO,NO,A,Pounds,0,0,0,0
2016,00920TXCDPRD28P,1.10001E+11,PUMA ENERGY CARIBE LLC-GUAYNABO 2 TERMINAL,RD 28 KM 0.8 PUEBLO VIEJO WARD,GUAYNABO,GUAYNABO,PR,971,18.423218,-66.10706,424710,PHENANTHRENE,85018,YES,TRI,NO,NO,R,Pounds,0,0,0,0
2016,00617MRCKSSTATE,1.10068E+11,MERIAL BARCELONETA LLC,ROAD #2 KM 56.7,BARCELONETA,BARCELONETA,PR,617,18.425545,-66.547442,325412,ETHYLBENZENE,100414,YES,TRI,NO,NO,R,Pounds,0,0.02,0,0.02
2016,00617MRCKSSTATE,1.10068E+11,MERIAL BARCELONETA LLC,ROAD #2 KM 56.7,BARCELONETA,BARCELONETA,PR,617,18.425545,-66.547442,325412,NAPHTHALENE,91203,YES,TRI,NO,NO,R,Pounds,0,3.96,0,3.96
2016,00632BCRDCSTREE,1.10013E+11,BACARDI CORP,RD # 165 KM 2.6 IND US TRIAL AREA,CATANO,CATANO,PR,962,18.457669,-66.140611,312140,HYDROGEN SULFIDE,7783064,YES,TRI,NO,NO,R,Pounds,0,0,0,0
2016,00754LNCMNURBAP,1.10005E+11,LANCO MANUFACTURING CORP,URB APONTE # 5,SAN LORENZO,SAN LORENZO,PR,754,18.193248,-65.94819,325510,METHANOL,67561,YES,TRI,NO,NO,R,Pounds,19.5,28.9,0,48.4
2016,00767YBCSNROUTE,1.10001E+11,BUCKEYE CARIBBEAN TERMINALS LLC (FORMER SCYI),RT 901 KM 2.7 CAMINO NUEVO WARD,YABUCOA,YABUCOA,PR,767,18.046899,-65.85116,493110,METHANOL,67561,YES,TRI,NO,NO,A,Pounds,0,0,0,0
2016,00701CYNMDPRROA,1.10008E+11,BASF AGRICULTURAL PRODUCTS DE PUERTO RICO,STATE RD PR 2 KM 47.4,MANATI,MANATI,PR,674,18.437222,-66.475388,325320,ETHYLENE GLYCOL,107211,YES,TRI,NO,NO,R,Pounds,0,0.13,0,0.13
2016,00725SCHSCRD175,1.10011E+11,SACHS CHEMICAL INC,RD 175 KM.0.02 RIO CANA IND WARD LOT 18,CAGUAS,CAGUAS,PR,725,18.296341,-66.05461,424690,ETHYLBENZENE,100414,YES,TRI,NO,NO,A,Pounds,0,0,0,0
2016,00754LNCMNURBAP,1.10005E+11,LANCO MANUFACTURING CORP,URB APONTE # 5,SAN LORENZO,SAN LORENZO,PR,754,18.193248,-65.94819,325510,ZINC (FUME OR DUST),7440666,NO,TRI,NO,NO,A,Pounds,0,0,0,0
2016,00754LNCMNURBAP,1.10005E+11,LANCO MANUFACTURING CORP,URB APONTE # 5,SAN LORENZO,SAN LORENZO,PR,754,18.193248,-65.94819,325510,XYLENE (MIXED ISOMERS),1330207,YES,TRI,NO,NO,R,Pounds,1.02,0.49,0,1.51
2016,00725SCHSCRD175,1.10011E+11,SACHS CHEMICAL INC,RD 175 KM.0.02 RIO CANA IND WARD LOT 18,CAGUAS,CAGUAS,PR,725,18.296341,-66.05461,424690,XYLENE (MIXED ISOMERS),1330207,YES,TRI,NO,NO,A,Pounds,0,0,0,0
2016,00725SCHSCRD175,1.10011E+11,SACHS CHEMICAL INC,RD 175 KM.0.02 RIO CANA IND WARD LOT 18,CAGUAS,CAGUAS,PR,725,18.296341,-66.05461,424690,DIETHANOLAMINE,111422,YES,TRI,NO,NO,A,Pounds,0,0,0,0
2016,00771BDLSPPBX27,1.10021E+11,ASPEN SURGICAL PR CORP,PO BOX 2007 RD 183 KM 20.3,LAS PIEDRAS,LAS PIEDRAS,PR,771,18.17806,-65.87361,339113,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),N090,YES,TRI,YES,NO,R,Pounds,0,0,0,1574
2016,00654NQSTNROAD3,1.10001E+11,BAXTER HEALTHCARE SA/BAXTER HEALTHCARE OF PUERTO RICO,RD # 3 KM 144.2,GUAYAMA,GUAYAMA,PR,784,17.9631,-66.1503,325412,ANTIMONY COMPOUNDS,N010,YES,TRI,YES,NO,R,Pounds,5,5,0,10
2016,00937SSLMMLUISM,1.10008E+11,LMM AIRPORT PLANT,LUIS MUNOZ MARIN INT AIRPORT MUNIZ AIR BASE AREA,CAROLINA,CAROLINA,PR,979,18.439444,-66.005836,424710,NAPHTHALENE,91203,YES,TRI,NO,NO,R,Pounds,21.2,181.1,0,202.3
2016,00654NQSTNROAD3,1.10001E+11,BAXTER HEALTHCARE SA/BAXTER HEALTHCARE OF PUERTO RICO,RD # 3 KM 144.2,GUAYAMA,GUAYAMA,PR,784,17.9631,-66.1503,325412,CHLORINE,7782505,YES,TRI,NO,NO,R,Pounds,5,5,0,10
2016,00619CRBBNLUCHE,1.10008E+11,PUMA ENERGY CARIBE LLC,PR 28 KM 2 LUCHETTI IND US TRIAL PARK,BAYAMON,BAYAMON,PR,961,18.418463,-66.137481,424710,ETHYLBENZENE,100414,YES,TRI,NO,NO,R,Pounds,1.021,258.916,0,259.937
2016,00619CRBBNLUCHE,1.10008E+11,PUMA ENERGY CARIBE LLC,PR 28 KM 2 LUCHETTI IND US TRIAL PARK,BAYAMON,BAYAMON,PR,961,18.418463,-66.137481,424710,PHENOL,108952,YES,TRI,NO,NO,R,Pounds,0,0,0,0
2016,00936SNJNCKM267,1.10001E+11,ESSROC SAN JUAN INC,KM 26.7 STATE HWY #2,DORADO,DORADO,PR,646,18.3944,-66.2976,212399,MERCURY COMPOUNDS,N458,YES,PBT,YES,NO,R,Pounds,0,3.61,0,3.61
